category_id,skill_id
23,1
1,2
21,5
21,6
21,7
21,9
21,11
21,12
21,13
21,16
22,17
22,18
22,19
24,20
24,22
24,23
24,24
12,25
24,29
24,30
24,31
2,33
2,35
6,36
4,37
4,38
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,49
23,56
21,47
23,53
23,48
3,34
23,50
1,4
17,57
3,58
17,59
3,32
3,60
3,61
4,61
17,61
2,65
2,64
2,63
2,62
4,66
7,70
7,69
11,70
11,69
7,68
11,68
10,70
8,71
8,79
9,79
9,80
5,87
5,86
5,85
5,84
5,83
5,82
5,81
5,78
5,77
5,76
9,75
11,75
8,72
8,73
22,88
2,133
9,133
9,132
9,131
9,129
9,130
9,128
9,127
9,126
9,125
9,124
9,123
9,121
9,122
9,120
18,120
18,121
9,119
18,119
9,118
18,118
9,117
28,117
9,116
18,116
9,115
18,115
28,115
9,114
18,114
9,113
9,112
2,111
9,111
2,110
9,110
2,109
9,109
9,108
9,107
9,106
9,105
9,104
18,107
18,106
18,109
18,110
2,112
9,103
9,102
9,101
9,100
9,99
12,99
8,98
9,98
18,98
9,97
9,96
9,95
9,94
18,94
18,95
9,93
9,92
18,92
9,91
9,90
18,89
18,86
18,80
18,78
18,73
9,69
10,68
9,134
12,134
13,150
13,145
13,146
13,147
13,148
13,149
13,144
13,143
13,142
13,135
13,136
13,137
13,138
13,139
13,140
13,141
14,151
14,152
14,153
15,155
15,157
15,158
16,159
15,161
16,162
25,163
25,164
25,165
17,166
17,167
17,168
19,169
26,170
26,171
28,129
28,128
28,130
28,131
27,172
30,178
29,177
30,177
29,174
29,175
29,176
29,173
30,179
30,180
31,181
31,182
31,183
27,185
27,187
9,188
28,188
13,189
8,52
6,89
24,78
22,190
18,83
18,76
18,105
18,87
18,84
18,82
18,81
18,77
41,193
41,194
41,195
41,196
41,197
41,198
41,199
41,200
41,201
41,202
41,203
41,204
41,205
41,206
41,207
41,208
41,209
41,210
66,211
66,212
66,213
66,214
66,215
40,216
40,217
40,218
40,222
39,223
13,191
1,224
33,225
33,226
34,227
34,228
35,229
35,230
35,231
35,232
23,234
36,236
36,237
37,238
37,239
37,240
37,241
38,243
42,256
67,269
43,269
47,269
67,270
67,271
67,272
64,278
64,280
64,281
64,282
64,283
64,284
64,285
64,286
43,287
43,288
68,287
68,288
43,289
43,290
43,291
43,292
68,289
68,290
43,293
68,291
68,292
43,294
68,293
68,294
43,295
43,296
43,297
68,295
68,296
68,297
43,298
43,299
43,300
68,298
43,301
68,299
68,300
43,302
43,303
68,301
68,302
68,303
43,304
68,304
43,305
68,305
43,306
43,307
68,306
68,307
43,308
43,309
43,310
43,311
68,308
68,309
68,310
43,312
68,311
43,313
68,312
68,313
43,314
43,315
43,316
43,317
68,314
68,315
68,316
43,318
68,317
68,318
43,319
68,319
43,320
43,321
68,320
68,321
43,322
68,322
43,323
68,323
43,324
68,324
43,325
68,325
43,326
43,327
68,326
68,327
43,328
68,328
43,329
68,329
45,332
45,334
44,339
44,340
44,341
44,342
46,344
46,345
46,346
46,347
47,351
47,350
47,349
47,348
47,352
48,353
48,362
48,359
48,361
48,354
48,355
48,358
48,357
48,356
48,360
49,365
49,364
49,366
49,367
49,368
50,370
50,371
50,372
50,373
50,374
50,375
51,378
51,377
51,380
51,379
52,381
52,384
52,383
52,382
52,386
52,385
52,387
52,390
52,389
30,388
30,393
30,398
30,395
30,396
30,397
30,394
30,391
30,392
54,392
55,391
54,399
54,400
54,401
55,403
55,402
55,407
55,409
55,406
55,405
55,404
56,408
56,410
56,411
56,412
57,413
57,414
57,415
57,416
58,425
58,424
58,423
58,426
58,431
58,430
59,429
59,428
59,427
59,434
61,440
61,444
61,443
61,442
61,441
61,445
61,446
61,447
62,449
62,448
62,451
62,450
42,452
67,452
42,453
67,453
13,455
13,456
13,457
13,459
13,460
13,461
13,462
13,463
13,464
13,458
13,465
13,466
13,467
13,468
10,274
10,273
66,470
66,471
5,472
5,473
13,474
13,477
10,478
11,478
23,479
23,480
9,481
1,482
1,483
1,484
23,485
10,486
10,487
4,488
4,489
32,490
1,491
4,492
1,493
35,494
1,495
1,496
5,497
23,498
23,499
23,500
12,501
3,502
4,503
6,504
6,505
6,506
3,507
20,508
20,509
6,510
63,511
28,512
24,513
3,514
28,515
6,516
2,517
21,518
30,519
24,520
6,521
4,522
12,523
5,524
5,525
5,526
16,154
15,10
15,8
15,14
15,15
15,27
15,21
15,192
15,74
15,26
31,186
32,184
20,28
20,432
20,436
20,433
20,435
16,160
16,156
63,437
63,438
63,476
70,475
50,369
33,235
35,242
42,246
37,249
42,249
39,252
39,244
39,247
41,250
64,253
66,245
68,248
45,251
45,254
45,255
48,261
48,259
48,262
48,264
48,267
49,257
58,257
49,260
50,265
50,266
51,263
52,268
52,454
52,275
52,276
30,277
58,279
58,219
62,336
62,331
51,335
70,338
48,270
66,270
10,270
4,60
2,49
18,79
67,67
2,92
65,527
65,528
65,529
65,530
65,531
65,532
65,533
65,534
65,535
65,536
65,167
17,532
17,533
17,530
44,343
10,363
18,85
18,123
22,123
22,121
33,439
34,439
33,254
34,254
45,439
51,376
49,258
52,537
54,337
60,330
60,221
60,220
60,333
5,538
5,539
30,540
63,541
13,3
31,542
6,543
6,544
6,545
6,546
2,547
5,548
6,549
6,550
6,551
6,552
32,553
6,554
6,555
20,556
