date_id,feature_id,date_value,created_at,updated_at
1,34,"2000,2017",2017-10-12 15:12:34.0,2017-10-12 15:12:34.0
2,35,"2000,2017",2017-10-12 15:13:07.0,2017-10-12 15:13:07.0
3,58,"1940,now",2018-04-11 19:42:58.0,2018-09-14 12:30:13.0
4,86,"1940,2018",2018-06-11 18:39:01.0,2018-06-11 18:39:01.0
5,546,"1940,now",2018-09-20 18:31:56.0,2018-09-21 18:09:15.0
6,556,"1940,now",2018-09-21 16:44:21.0,2018-09-21 18:10:07.0
7,558,2019,2018-09-21 17:46:46.0,2018-09-21 17:46:46.0
8,559,"1940,now",2018-09-21 18:04:42.0,2018-09-21 18:07:53.0
9,560,"1940,now",2018-09-21 18:12:04.0,2018-09-21 18:12:04.0
10,561,"1940,now",2018-09-21 18:16:24.0,2018-09-21 18:16:24.0
11,562,"1940,now",2018-09-21 18:18:54.0,2018-09-21 18:18:54.0
13,565,"1940,now",2018-09-21 18:41:21.0,2018-09-21 18:41:21.0
14,566,"1940,now",2018-09-21 18:47:44.0,2018-09-21 18:47:44.0
15,568,"1940,now",2018-09-21 19:27:03.0,2018-09-21 19:27:03.0
16,577,"1940,now",2018-09-25 17:53:03.0,2018-09-25 17:53:03.0
17,587,"1940,now",2018-09-26 15:29:06.0,2018-09-26 15:29:06.0
18,588,"1940,now",2018-09-26 16:24:38.0,2018-09-26 16:24:38.0
